3.0 36.5298599487 44.409543483
4.0 96.435343273 91.5889320794 96.4356803515
5.0 96.4386847916 96.613217717 96.3579794239
6.0 96.4663550509 96.4582478893 96.4444210204
7.0 96.4080992983 96.6198023399 96.3776213976
8.0 96.4523318807 96.6657054126 96.4097770598
9.0 96.3250604086 96.5764919053 96.3284794575
10.0 96.4663970931 96.6110706523 96.3914660064
11.0 96.4623903539 96.66289178 96.4218340799
12.0 96.435800546 96.620455572 96.4020983748
13.0 96.4685510988 96.7035414105 96.3924336674
14.0 96.4256144017 96.5873601634 96.4226483324
15.0 96.3594966904 96.6142086701 96.2604765349
16.0 96.4628239522 96.5819120088 96.4341546173
17.0 96.4154720323 96.5363276841 96.4132539756
18.0 96.431686174 96.5560482728 96.4232201584
19.0 96.4447951752 96.5315325179 96.3779262278
20.0 96.4023728431 96.7790514427 96.3978093793
21.0 79.799530263 96.7176788099 88.3606624007
