4 14.7805482212 14.8564972707 14.837045217
5 15.4770391978 15.5046102141 15.4973082684 15.3521798912
6 15.0629420687 15.0526830089 15.0645025157 15.2956971792
7 14.884757519 14.839723243 14.8529984701 14.9149260414
8 14.6225795051 14.7174867749 14.6642633674 14.5715537113
9 15.5932204514 15.5733739724 15.5866865567 15.3935534621
10 15.4662174457 15.4061812538 15.4405353302 15.6299291898
11 15.0033866526 15.0257024037 15.0067414257 15.0765460732
12 15.1571579394 15.1446078439 15.1562843459 15.1795506081
13 14.9056291563 14.8982137154 14.9156591803 14.9229288164
14 14.864571008 14.8910945706 14.8569691945 14.7414690714
15 14.9376336053 14.9564796929 14.9540551947 14.8984173161
16 15.1083651927 15.1474523114 15.1363092696 15.1517426925
17 15.8685202954 15.7988921414 15.8182636535 15.8588132006
18 15.1940007129 15.2171828813 15.1988718042 15.2219037508
19 15.3535951631 15.2799314976 15.3349350889 15.3337252383
20 15.1990124612 15.2248935329 15.2204441119 15.1611746517
21 15.2685855891 15.2794491948 15.2639031178 15.312243968
22 15.943364824 15.9116838904 15.9200370527 15.8473066504
23 15.0947006974 15.0794920209 15.0845347475 15.2120233631
24 15.9208869719 16.0587323615 15.945423322 15.6830916868
25 16.4066727148 16.299586395 16.40333759 16.5695178868
26 16.7014779016 16.7145558229 16.704116635 16.6336127737
27 15.8957292343 15.9123961711 15.8883143926 15.9572500366
28 16.1421047538 16.1257728665 16.1446032133 16.0449307375
29 15.6419955373 15.6437782893 15.6580652853 15.7101677138
30 16.1996716231 16.206681815 16.1877849825 16.1074461854
31 16.2350743812 16.2155683123 16.2344080767 16.180951096
32 16.6689075453 16.7020955587 16.6675275078 16.6835044382
33 16.3427276467 16.291348444 16.3275533936 16.3567968481
34 16.4522761312 16.4864957794 16.4645432411 16.3612002964
35 16.1270676207 16.115123088 16.1269736632 16.4305492743
36 16.0010355862 16.0093044829 15.9769773
36.1 16.0171230692
37 16.9797092546 16.9118049298 16.6992568093
37.1 16.8899155828
38.1 16.2146613596 16.1652249113 16.2044557165 16.1786865138
39.1 16.6551949316 16.6164568836 16.6476504347 16.6987809227
40.1 16.2925972482 16.3138002431 16.2944650178 16.4650772755
41.1 16.3628448736 16.3239123318 16.3466306745 16.1961434688
42.1 15.8121739283 15.8095340967 15.8160204551 16.0148490153
43.1 16.2223132085 16.2608360944 16.2315318903 16.1130906504
44.1 16.3016835 16.3202078162 16.3029568313 16.193150928
45.1 17.4903463012 17.441791383 17.4709089422 17.5438629522
46.1 16.70855266 16.7483424991 16.7190913007 16.6021747455
47.1 16.6387601429 16.60816995 16.6414383391 16.8339931961
48.1 15.8294537549 15.8644425405 15.8404986568 15.8549749838
49.1 16.3197198191 16.3209950371 16.3215149867 16.111628056
50.1 16.1693967919 16.1651416396 16.1727888001 16.414584819
51.1 15.2377022126 15.1758702842 15.1932745348 15.2354094429
52.1 14.4697993998 14.3405760035 14.3817422509 14.5519748785
53.1 11.2686898294 11.0685238026 11.1331451449 11.6205927184
54.1 7.46799213288 7.23590453903 7.31198531438 7.75838693033
55.1 2.92522107682 2.66005690983 2.70875523402 3.3156807403
56.1 0.0341702138012 0.0141151376678 0.0183988432199 0.103024232153
58.1 0.0
