32.0 7.03596727724e-07
33.0 7.03584153861e-07 7.03590859868e-07
34.0 5.47647511914 44.0004098277 5.75682703014
35.0 75.8769115118 75.3411389675 76.3917323518
36.0 76.2567599858 78.1951236697 75.5032050429
37.0 79.1231811892 76.5872609118 77.3952176486
38.0 78.4506429292 78.1544109587 78.2883788987
39.0 77.0255659133 77.4149008292 77.1730852629
40.0 78.3676949903 76.8707403322 78.9604362876
41.0 76.8576974451 78.6125102678 77.9220322489
42.0 77.0137699319 78.417446391 75.8154808489
43.0 78.0281091338 77.5095142999 77.1726400774
44.0 76.1901458595 77.6151725209 76.8492132565
45.0 77.201530531 75.9699489956 77.7836968836
46.0 76.4491307097 76.5063994432 77.6218895759
47.0 75.9520492004 77.1409727939 78.7865208816
48.0 77.857536197 76.6295453379 78.8609392933
49.0 78.7857152817 77.8123056627 78.1662605429
50.0 78.2194941218 78.8907585587 77.6862179665
51.0 77.8907636356 78.2802623666 77.808686207
52.0 76.2950194629 77.6334850316 78.6133548509
53.0 77.9995510123 78.3535601827 80.2420041684
54.0 76.3795206693 78.7738606735 77.9166545634
55.0 75.3783504129 46.832141299 75.9313171362
56.0 9.50995454815 0.0 9.5505340067
